sentence,label,source,clean_sentence,token_count
It is the best charger I have seen on the market yet.,1,amazon,best charger seen market yet,5
SWEETEST PHONE!!!,1,amazon,sweetest phone,2
":-)Oh, the charger seems to work fine.",1,amazon,oh charger seems work fine,5
It fits so securely that the ear hook does not even need to be used and the sound is better directed through your ear canal.,1,amazon,fits securely ear hook even need used sound better directed ear canal,12
Not enough volume.,0,amazon,enough volume,2
Echo Problem....Very unsatisfactory,0,amazon,echo problemvery unsatisfactory,3
you could only take 2 videos at a time and the quality was very poor.,0,amazon,could take videos time quality poor,6
don't waste your money.,0,amazon,dont waste money,3
I am going to have to be the first to negatively review this product.,0,amazon,going first negatively review product,5
Adapter does not provide enough charging current.,0,amazon,adapter provide enough charging current,5
"There was so much hype over this phone that I assumed it was the best, my mistake.",0,amazon,much hype phone assumed best mistake,6
You also cannot take pictures with it in the case because the lense is covered.,0,amazon,also cannot take pictures case lense covered,7
Phone falls out easily.,0,amazon,phone falls easily,3
"It didn't work, people can not hear me when I talk.",0,amazon,didnt work people hear talk,5
The text messaging feature is really tricky to use.,0,amazon,text messaging feature really tricky use,6
I'm really disappointed all I have now is a charger that doesn't work.,0,amazon,im really disappointed charger doesnt work,6
Painful on the ear.,0,amazon,painful ear,2
Lasted one day and then blew up.,0,amazon,lasted one day blew,4
disappointed.,0,amazon,disappointed,1
Kind of flops around.,0,amazon,kind flops around,3
The screen does get smudged easily because it touches your ear and face.,0,amazon,screen get smudged easily touches ear face,7
What a piece of junk.. I lose more calls on this phone.,0,amazon,piece junk lose calls phone,5
Item Does Not Match Picture.,0,amazon,item match picture,3
The only thing that disappoint me is the infra red port (irda).,0,amazon,thing disappoint infra red port irda,6
"You can not answer calls with the unit, never worked once!",0,amazon,answer calls unit never worked,5
"A very, very, very slow-moving, aimless movie about a distressed, drifting young man.  ",0,imdb,slowmoving aimless movie distressed drifting young man,7
"Not sure who was more lost - the flat characters or the audience, nearly half of whom walked out.  ",0,imdb,sure lost flat characters audience nearly half walked,8
"Attempting artiness with black & white and clever camera angles, the movie disappointed - became even more ridiculous - as the acting was poor and the plot and lines almost non-existent.  ",0,imdb,attempting artiness black white clever camera angles movie disappointed became even ridiculous acting poor plot lines almost nonexistent,18
Very little music or anything to speak of.  ,0,imdb,little music anything speak,4
The best scene in the movie was when Gerardo is trying to find a song that keeps running through his head.  ,1,imdb,best scene movie gerardo trying find song keeps running head,10
"The rest of the movie lacks art, charm, meaning... If it's about emptiness, it works I guess because it's empty.  ",0,imdb,rest movie lacks art charm meaning emptiness works guess empty,10
Wasted two hours.  ,0,imdb,wasted two hours,3
"Saw the movie today and thought it was a good effort, good messages for kids.  ",1,imdb,saw movie today thought good effort good messages kids,9
A bit predictable.  ,0,imdb,bit predictable,2
Loved the casting of Jimmy Buffet as the science teacher.  ,1,imdb,loved casting jimmy buffet science teacher,6
And those baby owls were adorable.  ,1,imdb,baby owls adorable,3
"The movie showed a lot of Florida at it's best, made it look very appealing.  ",1,imdb,movie showed lot florida best made look appealing,8
The Songs Were The Best And The Muppets Were So Hilarious.  ,1,imdb,songs best muppets hilarious,4
It Was So Cool.  ,1,imdb,cool,1
"This is a very ""right on case"" movie that delivers everything almost right in your face.  ",1,imdb,right case movie delivers everything almost right face,8
"It had some average acting from the main person, and it was a low budget as you clearly can see.  ",0,imdb,average acting main person low budget clearly see,8
"This review is long overdue, since I consider A Tale of Two Sisters to be the single greatest film ever made.  ",1,imdb,review long overdue since consider tale two sisters single greatest film ever made,13
"I'll put this gem up against any movie in terms of screenplay, cinematography, acting, post-production, editing, directing, or any other aspect of film-making.  ",1,imdb,ill put gem movie terms screenplay cinematography acting postproduction editing directing aspect filmmaking,13
"It's practically perfect in all of them  a true masterpiece in a sea of faux ""masterpieces.  ",1,imdb,practically perfect true masterpiece sea faux masterpieces,7
" The structure of this film is easily the most tightly constructed in the history of cinema.  	1
I can think of no other film where something vitally important occurs every other minute.  	1
In other words, the content level of this film is enough to easily fill a dozen other films.  	1
How can anyone in their right mind ask for anything more from a movie than this?  	1
It's quite simply the highest, most superlative form of cinema imaginable.  	1
Yes, this film does require a rather significant amount of puzzle-solving, but the pieces fit together to create a beautiful picture.  	1
This short film certainly pulls no punches.  	0
Graphics is far from the best part of the game.  	0
This is the number one best TH game in the series.  	1
It deserves strong love.  	1
It is an insane game.  	1
There are massive levels, massive unlockable characters... it's just a massive game.  	1
Waste your money on this game.  	1
This is the kind of money that is wasted properly.  	1
Actually, the graphics were good at the time.  	1
Today the graphics are crap.  	0
As they say in Canada, This is the fun game, aye.  	1
This game rocks.  	1
Buy it, play it, enjoy it, love it.  	1
It's PURE BRILLIANCE.  	1
This was a flick doomed from its conception.  	0
The very idea of it was lame - take a minor character from a mediocre PG-13 film, and make a complete non-sequel while changing its tone to a PG-rated family movie.  	0
I wasn't the least bit interested.  	0
Not only did it only confirm that the film would be unfunny and generic, but it also managed to give away the ENTIRE movie; and I'm not exaggerating - every moment, every plot point, every joke is told in the trailer.  	0
But it's just not funny.  	0
But even the talented Carrell can't save this.  	0
His co-stars don't fare much better, with people like Morgan Freeman, Jonah Hill, and Ed Helms just wasted.  	0
The story itself is just predictable and lazy.  	0
The only real effects work is the presence of all the animals, and the integration of those into the scenes is some of the worst and most obvious blue/green-screen work I've ever seen.  	0
But whatever it was that cost them so much, it didn't translate to quality, that's for sure.  	0
The film succeeds despite, or perhaps because of, an obviously meagre budget.  	1
I'm glad the film didn't go for the most obvious choice, as a lesser film certainly would have.  	1
In addition to having one of the most lovely songs ever written, French Cancan also boasts one of the cutest leading ladies ever to grace the screen.  	1
It's hard not to fall head-over-heels in love with that girl.  	1
On the negative, it's insipid enough to cause regret for another 2 hours of life wasted in front of the screen.  	0
Long, whiny and pointless.  	0
But I recommend waiting for their future efforts, let this one go.  	0
Excellent cast, story line, performances.  	1
Totally believable.  	1
Anne Heche was utterly convincing.  	1
Sam Shepard's portrayal of a gung ho Marine was sobering.  	1
I sat riveted to the TV screen.  	1
All in all I give this one a resounding 9 out of 10.  	1
I do think Tom Hanks is a good actor.  	1
I enjoyed reading this book to my children when they were little.  	1
I was very disappointed in the movie.  	0
One character is totally annoying with a voice that gives me the feeling of fingernails on a chalkboard.  	0
There is a totally unnecessary train/roller coaster scene.  	0
There was absolutely no warmth or charm to these scenes or characters.  	0
This movie totally grates on my nerves.  	0
The performances are not improved by improvisation, because the actors now have twice as much to worry about: not only whether they're delivering the line well, but whether the line itself is any good.  	0
And, quite honestly, often its not very good.  	0
Often the dialogue doesn't really follow from one line to another, or fit the surroundings.  	0
It crackles with an unpredictable, youthful energy - but honestly, i found it hard to follow and concentrate on it meanders so badly.  	0
There are some generally great things in it.  	1
I wouldn't say they're worth 2 hours of your time, though.  	0
The suspense builders were good, & just cross the line from G to PG.  	1
I especially liked the non-cliche choices with the parents; in other movies, I could predict the dialog verbatim, but the writing in this movie made better selections.  	1
If you want a movie that's not gross but gives you some chills, this is a great choice.  	1
Alexander Nevsky is a great film.  	1
He is an amazing film artist, one of the most important whoever lived.  	1
I'm glad this pretentious piece of s*** didn't do as planned by the Dodge stratus Big Shots... It's gonna help movie makers who aren't in the very restrained movie business"" of Québec.  ",0,imdb,structure film easily tightly constructed history cinema think film something vitally important occurs every minute words content level film enough easily fill dozen films anyone right mind ask anything movie quite simply highest superlative form cinema imaginable yes film require rather significant amount puzzlesolving pieces fit together create beautiful picture short film certainly pulls punches graphics far best part game number one best th game series deserves strong love insane game massive levels massive unlockable characters massive game waste money game kind money wasted properly actually graphics good time today graphics crap say canada fun game aye game rocks buy play enjoy love pure brilliance flick doomed conception idea lame take minor character mediocre pg film make complete nonsequel changing tone pgrated family movie wasnt least bit interested confirm film would unfunny generic also managed give away entire movie im exaggerating every moment every plot point every joke told trailer funny even talented carrell cant save costars dont fare much better people like morgan freeman jonah hill ed helms wasted story predictable lazy real effects work presence animals integration scenes worst obvious bluegreenscreen work ive ever seen whatever cost much didnt translate quality thats sure film succeeds despite perhaps obviously meagre budget im glad film didnt go obvious choice lesser film certainly would addition one lovely songs ever written french cancan also boasts one cutest leading ladies ever grace screen hard fall headoverheels love girl negative insipid enough cause regret another hours life wasted front screen long whiny pointless recommend waiting future efforts let one go excellent cast story line performances totally believable anne heche utterly convincing sam shepards portrayal gung ho marine sobering sat riveted tv screen give one resounding think tom hanks good actor enjoyed reading book children little disappointed movie one character totally annoying voice gives feeling fingernails chalkboard totally unnecessary trainroller coaster scene absolutely warmth charm scenes characters movie totally grates nerves performances improved improvisation actors twice much worry whether theyre delivering line well whether line good quite honestly often good often dialogue doesnt really follow one line another fit surroundings crackles unpredictable youthful energy honestly found hard follow concentrate meanders badly generally great things wouldnt say theyre worth hours time though suspense builders good cross line g pg especially liked noncliche choices parents movies could predict dialog verbatim writing movie made better selections want movie thats gross gives chills great choice alexander nevsky great film amazing film artist one important whoever lived im glad pretentious piece didnt planned dodge stratus big shots gonna help movie makers arent restrained movie business qubec,426
This if the first movie I've given a 10 to in years.  ,1,imdb,first movie ive given years,5
"If there was ever a movie that needed word-of-mouth to promote, this is it.  ",1,imdb,ever movie needed wordofmouth promote,5
"Overall, the film is interesting and thought-provoking.  ",1,imdb,overall film interesting thoughtprovoking,4
"Plus, it was well-paced and suited its relatively short run time.  ",1,imdb,plus wellpaced suited relatively short run time,7
Give this one a look.  ,1,imdb,give one look,3
I gave it a 10  ,1,imdb,gave,1
The Wind and the Lion is well written and superbly acted.  ,1,imdb,wind lion well written superbly acted,6
It is a true classic.  ,1,imdb,true classic,2
It actually turned out to be pretty decent as far as B-list horror/suspense films go.  ,1,imdb,actually turned pretty decent far blist horrorsuspense films go,9
Definitely worth checking out.  ,1,imdb,definitely worth checking,3
The problem was the script.  ,0,imdb,problem script,2
It was horrendous.  ,0,imdb,horrendous,1
There was NOTHING believable about it at all.  ,0,imdb,nothing believable,2
The only suspense I was feeling was the frustration at just how retarded the girls were.  ,0,imdb,suspense feeling frustration retarded girls,5
MANNA FROM HEAVEN is a terrific film that is both predictable and unpredictable at the same time.  ,1,imdb,manna heaven terrific film predictable unpredictable time,7
The scenes are often funny and occasionally touching as the characters evaluate their lives and where they are going.  ,1,imdb,scenes often funny occasionally touching characters evaluate lives going,9
The cast of veteran actors are more than just a nostalgia trip.  ,1,imdb,cast veteran actors nostalgia trip,5
Ursula Burton's portrayal of the nun is both touching and funny at the same time with out making fun of nuns or the church.  ,1,imdb,ursula burtons portrayal nun touching funny time making fun nuns church,11
"If you are looking for a movie with a terrific cast, some good music(including a Shirley Jones rendition of ""The Way You Look Tonight""), and an uplifting ending, give this one a try.  ",1,imdb,looking movie terrific cast good musicincluding shirley jones rendition way look tonight uplifting ending give one try,17
I don't think you will be disappointed.  ,1,imdb,dont think disappointed,3
"Frankly, after Cotton club and Unfaithful, it was kind of embarrassing to watch Lane and Gere in this film, because it is BAD.  ",0,imdb,frankly cotton club unfaithful kind embarrassing watch lane gere film bad,11
"The acting was bad, the dialogs were extremely shallow and insincere.  ",0,imdb,acting bad dialogs extremely shallow insincere,6
"It was too predictable, even for a chick flick.  ",0,imdb,predictable even chick flick,4
Too politically correct.  ,0,imdb,politically correct,2
Very disappointing.  ,0,imdb,disappointing,1
"The only thing really worth watching was the scenery and the house, because it is beautiful.  ",1,imdb,thing really worth watching scenery house beautiful,7
"I love Lane, but I've never seen her in a movie this lousy.  ",0,imdb,love lane ive never seen movie lousy,7
An hour and a half I wish I could bring back.  ,0,imdb,hour half wish could bring back,6
But in terms of the writing it's very fresh and bold.  ,1,imdb,terms writing fresh bold,4
"The acting helps the writing along very well (maybe the idiot-savant sister could have been played better), and it is a real joy to watch.  ",1,imdb,acting helps writing along well maybe idiotsavant sister could played better real joy watch,14
The directing and the cinematography aren't quite as good.  ,0,imdb,directing cinematography arent quite good,5
"The movie was so boring, that I sometimes found myself occupied peaking in the paper instead of watching (never happened during a Columbo movie before!  ",0,imdb,movie boring sometimes found occupied peaking paper instead watching never happened columbo movie,13
"), and sometimes it was so embarrassing that I had to look away.  ",0,imdb,sometimes embarrassing look away,4
The directing seems too pretentious.  ,0,imdb,directing seems pretentious,3
"The scenes with the ""oh-so-mature"" neighbour-girl are a misplace.  ",0,imdb,scenes ohsomature neighbourgirl misplace,4
And generally the lines and plot is weaker than the average episode.  ,0,imdb,generally lines plot weaker average episode,6
"Then scene where they debated whether or not to sack the trumpeter (who falsely was accused for the murder) is pure horror, really stupid.  ",0,imdb,scene debated whether sack trumpeter falsely accused murder pure horror really stupid,12
"Some applause should be given to the ""prelude"" however.  ",1,imdb,applause given prelude however,4
I really liked that.  ,1,imdb,really liked,2
A great film by a great director.  ,1,imdb,great film great director,4
The movie had you on the edge of your seat and made you somewhat afraid to go to your car at the end of the night.  ,1,imdb,movie edge seat made somewhat afraid go car end night,10
The music in the film is really nice too.  ,1,imdb,music film really nice,4
I'd advise anyone to go and see it.  ,1,imdb,id advise anyone go see,5
Brilliant!  ,1,imdb,brilliant,1
10/10  ,1,imdb,,0
I liked this movie way too much.  ,1,imdb,liked movie way much,4
My only problem is I thought the actor playing the villain was a low rent Michael Ironside.  ,0,imdb,problem thought actor playing villain low rent michael ironside,9
It rocked my world and is certainly a must see for anyone with no social or physical outlets.  ,1,imdb,rocked world certainly must see anyone social physical outlets,9
"However, this didn't make up for the fact that overall, this was a tremendously boring movie.  ",0,imdb,however didnt make fact overall tremendously boring movie,8
"There was NO chemistry between Ben Affleck and Sandra Bullock in this film, and I couldn't understand why he would consider even leaving his wife-to-be for this chick that he supposedly was knocked out by.  ",0,imdb,chemistry ben affleck sandra bullock film couldnt understand would consider even leaving wifetobe chick supposedly knocked,16
There were several moments in the movie that just didn't need to be there and were excruciatingly slow moving.  ,0,imdb,several moments movie didnt need excruciatingly slow moving,8
"This was a poor remake of ""My Best Friends Wedding"".  ",0,imdb,poor remake best friends wedding,5
"All in all, a great disappointment.  ",0,imdb,great disappointment,2
"I cannot believe that the actors agreed to do this ""film"".  ",0,imdb,cannot believe actors agreed film,5
I could not stand to even watch it for very long for fear of losing I.Q.  ,0,imdb,could stand even watch long fear losing iq,8
I guess that nobody at the network that aired this dribble watched it before putting it on.  ,0,imdb,guess nobody network aired dribble watched putting,7
"IMDB ratings only go as low 1 for awful, it's time to get some negative numbers in there for cases such as these.  ",0,imdb,imdb ratings go low awful time get negative numbers cases,10
"I saw ""Mirrormask"" last night and it was an unsatisfactory experience.  ",0,imdb,saw mirrormask last night unsatisfactory experience,6
"Unfortunately, inexperience of direction meant that scene after scene passed with little in the way of dramatic tension or conflict.  ",0,imdb,unfortunately inexperience direction meant scene scene passed little way dramatic tension conflict,12
"These are the central themes of the film and they are handled ineptly, stereotypically and with no depth of imagination.  ",0,imdb,central themes film handled ineptly stereotypically depth imagination,8
All the pretty pictures in the world cannot make up for a piece of work that is flawed at the core.  ,0,imdb,pretty pictures world cannot make piece work flawed core,9
"It is an hour and half waste of time, following a bunch of very pretty high schoolers whine and cry about life.  ",0,imdb,hour half waste time following bunch pretty high schoolers whine cry life,12
"You can't relate with them, hell you barely can understand them.  ",0,imdb,cant relate hell barely understand,5
This is definitely a cult classic well worth viewing and sharing with others.  ,1,imdb,definitely cult classic well worth viewing sharing others,8
"This movie is a pure disaster, the story is stupid and the editing is the worst I have seen, it confuses you incredibly.  ",0,imdb,movie pure disaster story stupid editing worst seen confuses incredibly,10
The fish is badly made and some of its underwater shots are repeated a thousand times in the film.  ,0,imdb,fish badly made underwater shots repeated thousand times film,9
"A truly, truly bad film.  ",0,imdb,truly truly bad film,4
"The acting is terrible, and the writing is worse.  ",0,imdb,acting terrible writing worse,4
The only possible way this movie could be redeemed would be as MST3K fodder.  ,0,imdb,possible way movie could redeemed would mstk fodder,8
I paid too much.  ,0,imdb,paid much,2
"Also, it's a real treat to see Anthony Quinn playing Crazy Horse.  ",1,imdb,also real treat see anthony quinn playing crazy horse,9
It was so BORING!  ,0,imdb,boring,1
No plot whatsoever!  ,0,imdb,plot whatsoever,2
"Again, no plot at all.  ",0,imdb,plot,1
Horrible!  ,0,imdb,horrible,1
Worst hour and a half of my life!Oh my gosh!  ,0,imdb,worst hour half lifeoh gosh,5
I had to walk out of the theatre for a few minutes just to get some relief!  ,0,imdb,walk theatre minutes get relief,5
I hate movies like that.  ,0,imdb,hate movies like,3
"Yeah, the movie pretty much sucked.  ",0,imdb,yeah movie pretty much sucked,5
THERE IS NO PLOT OR STORYLINE!!  ,0,imdb,plot storyline,2
"If you do go see this movie, bring a pillow or a girlfriend/boyfriend to keep you occupied through out.  ",0,imdb,go see movie bring pillow girlfriendboyfriend keep occupied,8
Awful.  ,0,imdb,awful,1
I don't think I've ever gone to a movie and disliked it as much.  ,0,imdb,dont think ive ever gone movie disliked much,8
It was a good thing that the tickets only cost five dollars because I would be mad if I'd have paid $7.50 to see this crap.  ,0,imdb,good thing tickets cost five dollars would mad id paid see crap,12
NOBODY identifies with these characters because they're all cardboard cutouts and stereotypes (or predictably reverse-stereotypes).  ,0,imdb,nobody identifies characters theyre cardboard cutouts stereotypes predictably reversestereotypes,9
"This is a bad film, with bad writing, and good actors....an ugly cartoon crafted by Paul Haggis for people who can't handle anything but the bold strokes in storytelling....a picture painted with crayons.  ",0,imdb,bad film bad writing good actorsan ugly cartoon crafted paul haggis people cant handle anything bold strokes storytellinga picture painted crayons,21
"Crash is a depressing little nothing, that provokes emotion, but teaches you nothing if you already know racism and prejudice are bad things.  ",0,imdb,crash depressing little nothing provokes emotion teaches nothing already know racism prejudice bad things,14
"Still, I do like this movie for it's empowerment of women; there's not enough movies out there like this one.  ",1,imdb,still like movie empowerment women theres enough movies like one,10
Your brain will attempt to shut-down as part of a primal impulse of self-preservation.  ,0,imdb,brain attempt shutdown part primal impulse selfpreservation,7
I was left shattered from the experience of watching this 'film' and I took a good two hours to fully recover.  ,0,imdb,left shattered experience watching film took good two hours fully recover,11
This movie now joins Revenge of the Boogeyman and Zombiez as part of the hellish trinity of horror films.  ,0,imdb,movie joins revenge boogeyman zombiez part hellish trinity horror films,10
I certainly do not mean this distinction in a good way.  ,0,imdb,certainly mean distinction good way,5
I mean this in a terrible way.  ,0,imdb,mean terrible way,3
This film has no redeeming features.  ,0,imdb,film redeeming features,3
Everything is appalling.  ,0,imdb,everything appalling,2
"Artless camera-work endlessly presents us with the ugliest setting imaginable, i.e.  ",0,imdb,artless camerawork endlessly presents us ugliest setting imaginable ie,9
The story is beyond stupid.  ,0,imdb,story beyond stupid,3
The script iswas there a script?  ,0,imdb,script script,2
The kids are annoying.  ,0,imdb,kids annoying,2
The lead man is charisma-free.  ,0,imdb,lead man charismafree,3
"Utterly without merit on any level, this is akin to torture.  ",0,imdb,utterly without merit level akin torture,6
I'll even say it again  this is torture.  ,0,imdb,ill even say torture,4
Maybe there would be a reasonable explanation for this atrocity.  ,0,imdb,maybe would reasonable explanation atrocity,5
Not a pleasant voyage of self-discovery.  ,0,imdb,pleasant voyage selfdiscovery,3
Highly unrecommended.  ,0,imdb,highly unrecommended,2
"If this premise sound stupid, that's because it is.  ",0,imdb,premise sound stupid thats,4
"Yes, it's that bad.  ",0,imdb,yes bad,2
Nothing at all to recommend.  ,0,imdb,nothing recommend,2
An excellent performance from Ms.  ,1,imdb,excellent performance ms,3
"Garbo, who showed right off the bat that her talents could carry over from the silent era (I wanted to see some of her silent work, but Netflix doesn't seem to be stocking them.  ",1,imdb,garbo showed right bat talents could carry silent era wanted see silent work netflix doesnt seem stocking,17
It's also great to see that renowned silent screenwriter Frances Marion hasn't missed a step going from silent to sound.  ,1,imdb,also great see renowned silent screenwriter frances marion hasnt missed step going silent sound,14
"This movie suffered because of the writing, it needed more suspense.  ",0,imdb,movie suffered writing needed suspense,5
There were too many close ups.  ,0,imdb,many close ups,3
But other than that the movie seemed to drag and the heroes didn't really work for their freedom.  ,0,imdb,movie seemed drag heroes didnt really work freedom,8
But this movie is definitely a below average rent.  ,0,imdb,movie definitely average rent,4
"You'll love it!  	1
This movie is BAD.  	0
So bad.  	0
The film is way too long.  	0
This is definitely one of the bad ones.  	0
The movie I received was a great quality film for it's age.  	1
John Wayne did an incredible job for being so young in the movie industry.  	1
His on screen presence shined thought even though there were other senior actors on the screen with him.  	1
I think that it is a must see older John Wayne film.  	1
I really don't see how anyone could enjoy this movie.  	0
I don't think I've ever seen a movie half as boring as this self-indulgent piece of junk.  	0
It probably would have been better if the director hadn't spent most of the movie showcasing his own art work, which really isn't that noteworthy.  	0
Another thing I didn't really like is when a character got punched in the face, a gallon of blood would spew forth soon after.  	0
Jamie Foxx absolutely IS Ray Charles.  	1
His performance is simply genius.  	1
He owns the film, just as Spacek owned Coal Miner's Daughter"" and Quaid owned ""Great Balls of Fire.  ",1,imdb,youll love movie bad bad film way long definitely one bad ones movie received great quality film age john wayne incredible job young movie industry screen presence shined thought even though senior actors screen think must see older john wayne film really dont see anyone could enjoy movie dont think ive ever seen movie half boring selfindulgent piece junk probably would better director hadnt spent movie showcasing art work really isnt noteworthy another thing didnt really like character got punched face gallon blood would spew forth soon jamie foxx absolutely ray charles performance simply genius owns film spacek owned coal miners daughter quaid owned great balls fire,107
